# SGH Voice compact JMdict common-word candidates
# format-version=1
# source=JMdict_b
# source-created=2026-07-26
# source-url=https://www.edrdg.org/pub/Nihongo/JMdict_b.gz
# priority-tags=gai1,ichi1,news1,spec1
# format=reading<TAB>score<TAB>candidate
いきち	4000	閾値
いきちがい	3069	行き違い
いきづまり	2084	行き詰まり
いきとどく	3000	行き届く
いきどおり	2083	憤り
いきどまり	3000	行き止まり
いきない	2092	域内
いきなり	3063	行き成り
いきのこり	2091	生き残り
いきもの	5087	生き物
いきょく	2088	医局
いきよい	5097	勢い
いきる	5096	生きる
いきわたる	3062	行き渡る
いぎ	5096	意義
いぎ	2090	異議
いぎょう	2078	偉業
いぎりす	4000	英吉利
いく	3000	幾
いく	3000	行く
いくえい	2090	育英
いくか	3000	幾日
いくさ	2086	戦
いくじ	5095	育児
いくじ	3058	意気地
いくせい	2095	育成
いくたび	3000	幾度
いくつ	5084	幾つ
いくつか	4000	幾つか
いくど	3000	幾度
いくどうおん	2077	異口同音
いくにち	3000	幾日
いくぶん	3072	幾分
いくら	3063	幾ら
いくら	2000	イクラ
いけ	5095	池
いけない	3000	行けない
いけばな	3075	生花
いけばな	3075	生け花
いけません	3000	行けません
いけめん	4000	イケメン
いけん	5099	意見
いけん	2095	違憲
いげ	5096	以下
いこい	5076	憩
いこい	5076	憩い
いこう	5099	意向
いこう	5086	以降
いこう	2096	移行
いこう	2080	遺構
いこうどうおん	2077	異口同音
いこく	2084	異国
いこつ	2092	遺骨
いこーる	2000	イコール
いご	5094	以後
いご	5091	囲碁
いごこち	2076	居心地
いさぎよい	3071	潔い
いさく	2078	遺作
いさご	5094	砂
いささか	3000	些か
いさましい	3055	勇ましい
いさる	3000	漁る
いさん	5093	遺産
いざかや	5084	居酒屋
いざない	2086	誘い
いざなう	5090	誘う
いし	5098	医師
いし	5086	意志
いし	3000	石
いし	2098	意思
いし	2086	遺志
いしあたま	3000	石頭
いしかい	2088	医師会
いしがき	2087	石垣
いしがけ	2087	石垣
いしがみ	2086	石神
いしき	5098	意識
いしきちょうさ	4000	意識調査
いしきてき	2083	意識的
いしけってい	2088	意思決定
いしずえ	2078	礎
いしずみ	5091	石炭
いしそつう	4000	意思疎通
いしつ	2089	異質
いしつぶつ	3000	遺失物
いしばい	2077	石灰
いしばし	2090	石橋
いしひょうじ	2088	意思表示
いしぶみ	2091	碑
いしむろ	2077	石室
いしゃ	5094	医者
いしゃ	2089	慰謝
いしゅく	4082	萎縮
いしょ	2085	遺書
いしょう	5093	衣装
いしょく	5098	移植
いしょく	2088	異色
いしょく	2077	委嘱
いしょくじゅう	3074	衣食住
いしん	5090	維新
いしん	2087	威信
いじ	5099	維持
いじ	5089	意地
いじ	2086	遺児
いじめ	7000	苛め
いじめ	7000	虐め
いじめる	3000	苛める
いじゅう	5089	移住
いじょう	5095	異常
いじょう	5088	以上
いじょう	2089	移譲
いじょう	2080	異状
いじる	3000	弄る
いじわる	3063	意地悪
いじん	3068	偉人
いす	5078	椅子
いすたんぶーる	2000	イスタンブール
いすらえる	2000	以色列
いすらむ	2000	イスラム
いすらむきょう	3000	イスラム教
いずく	3053	何処
いずこ	3053	何処
いずみ	5094	泉
いずむ	2000	イズム
いずれ	3000	何れ
いずれか	4000	何れか
いせい	5084	異性
いせい	5080	威勢
いせき	5096	遺跡
いせき	2090	堰
いせき	2090	移籍
いぜん	5097	以前
いぜん	5096	依然
いぜんとして	2094	依然として
いそ	4000	５０
いそ	2099	五十
いそ	2084	磯
いそいで	2094	急いで
いそう	2085	移送
いそがしい	5082	忙しい
いそぎ	2076	急ぎ
いそぐ	5078	急ぐ
いそん	2094	依存
いそんしょう	4000	依存症
いぞく	2097	遺族
いぞん	2094	依存
いぞんしょう	4000	依存症
いた	5092	板
いたい	5097	遺体
いたい	5084	痛い
いたがらす	2077	板ガラス
いたく	2093	委託
いたす	5076	致す
いたずら	3000	悪戯
いただき	2082	頂
いただきます	3000	頂きます
いただく	3000	頂く
いただける	4000	頂ける
いたって	2093	至って
いたづら	3000	悪戯
いたで	2085	痛手
いたましい	3075	痛ましい
いたみ	5095	痛み
いたむ	3059	悼む
いたむ	3057	傷む
いたむ	3057	痛む
いためる	7000	傷める
いためる	7000	痛める
