# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄎㄜˇ	可:6054|渴:48
ㄎㄜˊ	殻:67|殼:67
ㄎㄜˋ	刻:653|客:569|課:341|剋:172
ㄎㄞ	開:3483|揩:12
ㄎㄞˇ	慨:33
ㄎㄠˇ	考:334|烤:36
ㄎㄠˋ	靠:524
ㄎㄡˇ	口:1647
ㄎㄡˋ	扣:62|寇:19
ㄎㄢ	刊:50|堪:29|勘:13
ㄎㄢˇ	砍:81|檻:15|坎:10
ㄎㄢˋ	看:6042
ㄎㄣˇ	肯:280|懇:64|啃:17|墾:10
ㄎㄤ	康:78|慷:13
ㄎㄤˊ	扛:46
ㄎㄤˋ	抗:663|炕:87
ㄎㄥ	坑:90|吭:10
ㄎㄨ	哭:373|枯:34|窟:26
ㄎㄨˇ	苦:645
ㄎㄨˋ	庫:91|褲:62|酷:38
ㄎㄨㄚ	誇:43
ㄎㄨㄚˇ	垮:38
ㄎㄨㄚˋ	跨:62|挎:16
ㄎㄨㄛˋ	括:171|擴:159|闊:148|廓:22
ㄎㄨㄞˋ	快:1536|塊:929|筷:41
ㄎㄨㄟ	虧:71|盔:26
ㄎㄨㄟˊ	葵:16
ㄎㄨㄟˋ	愧:37|潰:10
ㄎㄨㄢ	寬:185
ㄎㄨㄢˇ	款:65
ㄎㄨㄣ	昆:72
ㄎㄨㄣˇ	捆:67
ㄎㄨㄣˋ	睏:386
ㄎㄨㄤ	筐:49|框:21
ㄎㄨㄤˊ	狂:101
ㄎㄨㄤˋ	況:719|礦:264|眶:18|曠:14
ㄎㄨㄥ	空:857
ㄎㄨㄥˇ	孔:180|恐:109
ㄎㄨㄥˋ	控:191
ㄏㄚ	哈:228
ㄏㄚˊ	蛤:12
ㄏㄜ	喝:340|嗬:13
ㄏㄜˊ	和:9513|閤:1585|河:958|何:691|盒:78|荷:69|核:68
ㄏㄜˋ	賀:15|褐:12
ㄏㄞ	咳:46|嗨:31
ㄏㄞˇ	海:914
ㄏㄞˊ	還:5894|孩:1235
ㄏㄞˋ	害:553|嗐:14
ㄏㄟ	黑:690|嘿:76
ㄏㄠˇ	好:6060
ㄏㄠˊ	毫:225|豪:35|壕:28
ㄏㄠˋ	號:462|耗:86|浩:11
ㄏㄡˇ	吼:63
ㄏㄡˊ	猴:86|喉:51
ㄏㄡˋ	後:4342|厚:202
